ID,TimeSurvey,CloseFriends,MessageType,TimeSent,TimeRespond
56,"2025-12-18 21:49:52","No","Personalized","2025-12-18 20:23:15",86.6166666666667
57,"2025-12-18 20:50:02","No","Personalized","2025-12-18 20:23:21",26.6833333333333
58,"","No","Personalized","2025-12-18 20:23:27",NA
59,"","Yes","Personalized","2025-12-18 20:23:33",NA
60,"2025-12-20 15:36:41","No","Basic","2025-12-18 20:23:40",2593.01666666667
61,"","No","Personalized","2025-12-18 20:23:46",NA
62,"2025-12-18 23:12:41","No","Basic","2025-12-18 20:23:51",168.833333333333
63,"2025-12-18 20:25:08","No","Personalized","2025-12-18 20:23:57",1.18333333333333
64,"2025-12-18 21:06:54","No","Basic","2025-12-18 20:24:04",42.8333333333333
65,"2025-12-19 17:41:43","No","Personalized","2025-12-18 20:24:09",1277.56666666667
66,"2025-12-19 14:49:11","No","Basic","2025-12-18 20:24:15",1104.93333333333
67,"","No","Basic","2025-12-18 20:24:21",NA
68,"2025-12-18 20:38:14","No","Personalized","2025-12-18 20:24:29",13.75
69,"","No","Basic","2025-12-18 20:24:35",NA
70,"2025-12-18 20:46:54","No","Basic","2025-12-18 20:24:41",22.2166666666667
71,"2025-12-21 18:51:33","No","Personalized","2025-12-18 20:24:47",4226.76666666667
72,"","No","Basic","2025-12-18 20:24:55",NA
73,"2025-12-19 14:22:40","No","Personalized","2025-12-18 20:25:01",1077.65
74,"","No","Personalized","2025-12-18 20:25:07",NA
75,"","No","Personalized","2025-12-18 20:25:13",NA
76,"2025-12-18 20:28:04","No","Personalized","2025-12-18 20:25:21",2.71666666666667
77,"","No","Personalized","2025-12-18 20:25:27",NA
78,"2025-12-18 20:32:55","Yes","Personalized","2025-12-18 20:25:33",7.36666666666667
79,"2025-12-19 01:34:57","Yes","Basic","2025-12-18 20:25:38",309.316666666667
0,"2025-12-18 20:33:53","Yes","Basic","2025-12-18 20:31:59",1.9
1,"2025-12-18 20:45:34","Yes","Personalized","2025-12-18 20:32:13",13.35
2,"2025-12-18 20:38:46","Yes","Personalized","2025-12-18 20:32:29",6.28333333333333
3,"2025-12-18 20:36:21","Yes","Personalized","2025-12-18 20:32:43",3.63333333333333
4,"","Yes","Basic","2025-12-18 20:32:55",NA
5,"2025-12-19 02:43:21","Yes","Personalized","2025-12-18 20:33:08",370.216666666667
6,"2025-12-18 21:24:44","Yes","Personalized","2025-12-18 20:33:26",51.3
7,"2025-12-19 17:36:08","Yes","Basic","2025-12-18 20:33:39",1262.48333333333
8,"2025-12-18 21:06:33","Yes","Personalized","2025-12-18 20:33:56",32.6166666666667
9,"2025-12-18 21:06:39","Yes","Personalized","2025-12-18 20:34:11",32.4666666666667
10,"2025-12-18 22:00:29","Yes","Basic","2025-12-18 20:34:26",86.05
11,"2025-12-19 21:25:02","Yes","Personalized","2025-12-18 20:34:49",1490.21666666667
12,"","Yes","Personalized","2025-12-18 20:35:17",NA
13,"2025-12-18 20:37:43","Yes","Basic","2025-12-18 20:35:41",2.03333333333333
14,"2025-12-19 16:01:44","Yes","Basic","2025-12-18 20:36:02",1165.7
15,"2025-12-19 11:32:54","No","Personalized","2025-12-18 20:36:23",896.516666666667
16,"2025-12-18 20:48:13","No","Basic","2025-12-18 20:36:40",11.55
17,"","No","Basic","2025-12-18 20:36:57",NA
18,"2025-12-19 15:55:07","No","Basic","2025-12-18 20:37:16",1157.85
19,"","No","Basic","2025-12-18 20:37:37",NA
20,"2025-12-19 10:06:55","No","Personalized","2025-12-18 20:37:56",808.983333333333
21,"2025-12-18 23:42:50","No","Personalized","2025-12-18 20:38:15",184.583333333333
22,"2025-12-18 21:38:30","No","Basic","2025-12-18 20:38:26",60.0666666666667
23,"2025-12-18 22:53:46","No","Personalized","2025-12-18 20:38:46",135
24,"","No","Basic","2025-12-18 20:44:00",NA
25,"2025-12-18 21:16:12","No","Basic","2025-12-18 20:39:20",36.8666666666667
26,"2025-12-18 22:05:34","No","Basic","2025-12-18 20:39:37",85.95
27,"2025-12-19 15:15:00","No","Personalized","2025-12-18 20:39:53",1115.11666666667
28,"2025-12-18 21:47:11","No","Basic","2025-12-18 20:40:08",67.05
29,"2025-12-18 21:02:58","No","Personalized","2025-12-18 20:40:24",22.5666666666667
30,"","No","Basic","2025-12-18 20:40:46",NA
31,"2025-12-18 21:01:58","No","Basic","2025-12-18 20:41:04",20.9
32,"","No","Basic","2025-12-18 20:41:19",NA
33,"2025-12-19 02:14:26","No","Personalized","2025-12-18 20:41:36",332.833333333333
34,"2025-12-19 05:12:19","No","Basic","2025-12-18 20:41:47",510.533333333333
35,"2025-12-18 20:51:56","No","Personalized","2025-12-18 20:41:58",9.96666666666667
